#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	Patient_ASD977_S306_merged_profile	Patient_9_S304_merged_profile	Patient_7_S303_merged_profile	Patient_6_S302_merged_profile	Patient_5_S301_merged_profile	Patient_4_S300_merged_profile	Patient_3_S299_merged_profile	Patient_2_S298_merged_profile	Patient_1_S297_merged_profile	Patient_11_S305_merged_profile
k__Bacteria|p__Bacteroidetes	2|976	2.81595	8.47619	1.54128	0.11243	0.37087	0.16686	0.1266	5.50747	2.08276	0.23744
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.81595	8.47619	1.54128	0.11243	0.37087	0.16686	0.1266	5.50747	2.08276	0.23744
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.81595	8.47619	1.54128	0.11243	0.37087	0.16686	0.1266	5.50747	2.08276	0.23744
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.81595	6.87673	1.20467	0.00274	0.24555	0.09333	0.03247	5.47401	0.65835	0.0607
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	2.81595	6.87673	1.20467	0.00274	0.24555	0.09333	0.03247	5.47401	0.65835	0.0607
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2|976|200643|171549|815|816|47678	0	0.83078	0.09673	0.00274	0	0	0	0	0.25976	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	2|976|200643|171549|815|816|246787	0	0.53619	0	0	0.15764	0	0	0	0.00646	0.03555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2|976|200643|171549|815|816|357276	0	0	0	0	0	0	0	0.1043	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	2|976|200643|171549|815|816|674529	0	0	0	0	0	0	0	0.40343	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	2|976|200643|171549|815|816|817	1.4692	0	0	0	0.06421	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	2|976|200643|171549|815|816|384639	0	0	0	0	0	0	0	0	0.00744	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	2|976|200643|171549|815|816|329854	0	0.01513	0	0	0	0	0	0	0	0
